typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,Column1
C,M,20020401,2002,4,200204,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,49790,FALSE,8,kg,49790,FALSE,49790,FALSE,0,FALSE,225645.107,0,225645.107,0,FALSE,TRUE,
C,M,20020401,2002,4,200204,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,49790,FALSE,8,kg,49790,FALSE,49790,FALSE,0,FALSE,225645.107,0,225645.107,0,FALSE,TRUE,
C,M,20020301,2002,3,200203,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,46225,FALSE,8,kg,46225,FALSE,46225,FALSE,0,FALSE,221492.728,0,221492.728,0,FALSE,TRUE,
C,M,20020301,2002,3,200203,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,46225,FALSE,8,kg,46225,FALSE,46225,FALSE,0,FALSE,221492.728,0,221492.728,0,FALSE,TRUE,
C,M,20021201,2002,12,200212,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,23500,FALSE,8,kg,23500,FALSE,23500,FALSE,0,FALSE,135642.781,0,135642.781,0,FALSE,TRUE,
C,M,20021201,2002,12,200212,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23500,FALSE,8,kg,23500,FALSE,23500,FALSE,0,FALSE,135642.781,0,135642.781,0,FALSE,TRUE,
C,M,20021101,2002,11,200211,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,29550,FALSE,8,kg,29550,FALSE,29550,FALSE,0,FALSE,144598.021,0,144598.021,0,FALSE,TRUE,
C,M,20021101,2002,11,200211,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,29550,FALSE,8,kg,29550,FALSE,29550,FALSE,0,FALSE,144598.021,0,144598.021,0,FALSE,TRUE,
C,M,20021001,2002,10,200210,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,24275,FALSE,8,kg,24275,FALSE,24275,FALSE,0,FALSE,125106.897,0,125106.897,0,FALSE,TRUE,
C,M,20021001,2002,10,200210,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24275,FALSE,8,kg,24275,FALSE,24275,FALSE,0,FALSE,125106.897,0,125106.897,0,FALSE,TRUE,
